url;Brand;Numero WhatsApp;Link wa.me;;;;;
https://073120.myshopify.com;073120;+3473409100;https://wa.me/3473409100;;;;;
https://0ajffj-ha.myshopify.com;0Ajffj Ha;+393205735707;https://wa.me/393205735707;;;;;
https://0c021d-4.myshopify.com;0C021D 4;+3294574195;https://wa.me/3294574195;;;;;
https://0d8080-4.myshopify.com;0D8080 4;+3791231413;https://wa.me/3791231413;;;;;
https://0e5b67.myshopify.com;0E5B67;+393776942432;https://wa.me/393776942432;;;;;
https://0z5s0j-wg.myshopify.com;0Z5S0J Wg;+393319910560;https://wa.me/393319910560;;;;;
https://136291-2e.myshopify.com;136291 2E;+393519770196;https://wa.me/393519770196;;;;;
https://1csaig-kg.myshopify.com;1Csaig Kg;+393514947361;https://wa.me/393514947361;;;;;
https://21e010-2.myshopify.com;21E010 2;+39043568337;https://wa.me/39043568337;;;;;
https://24eccf-1a.myshopify.com;24Eccf 1A;+390916517804;https://wa.me/390916517804;;;;;
https://296226-68.myshopify.com;296226 68;+390818307078;https://wa.me/390818307078;;;;;
https://3176f1-36.myshopify.com;3176F1 36;+393519359965;https://wa.me/393519359965;;;;;
https://3dd41f.myshopify.com;3Dd41F;+393312573795;https://wa.me/393312573795;;;;;
https://3fbe64.myshopify.com;3Fbe64;+393278652462;https://wa.me/393278652462;;;;;
https://4811b9-a2.myshopify.com;4811B9 A2;+393513020356;https://wa.me/393513020356;;;;;
https://50-ml.it;50 Ml;+390236520528;https://wa.me/390236520528;;;;;
https://506421-2.myshopify.com;506421 2;+393428037754;https://wa.me/393428037754;;;;;
https://5e41e9-2.myshopify.com;5E41E9 2;+390802047731;https://wa.me/390802047731;;;;;
https://5wjdiy-va.myshopify.com;5Wjdiy Va;+390957260214;https://wa.me/390957260214;;;;;
https://611281.myshopify.com;611281;+3516668130;https://wa.me/3516668130;;;;;
https://68d98f-2.myshopify.com;68D98F 2;+393471797743;https://wa.me/393471797743;;;;;
https://6b7e49-4.myshopify.com;6B7E49 4;+393497091929;https://wa.me/393497091929;;;;;
https://6p056v-z0.myshopify.com;6P056V Z0;+3312798964;https://wa.me/3312798964;;;;;
https://71b3ae.myshopify.com;71B3Ae;+393924358403;https://wa.me/393924358403;;;;;
https://7c98ac-0d.myshopify.com;7C98Ac 0D;+393420472789;https://wa.me/393420472789;;;;;
